"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","500","A122175CT-ND","1544425-2","SIL CONTACT Y1 THROUGH HOLE","","500","0","0.02928","14.64"
"2","40","WM21021-ND","0015040293","UNIVERSAL POLARIZING KEY WHITE","","40","0","0.12300","4.92"
"3","10","296-37430-1-ND","SN74S1051PWR","DIODE ARR SCHOTT 7V 50MA 16TSSOP","","10","0","3.00700","30.07"
"4","100","264-BAV99LMCT-ND","BAV99,LM","DIODE ARRAY GP 100V 215MA SOT23","","100","0","0.06130","6.13"
"5","100","BAS7004E6327HTSA1CT-ND","BAS7004E6327HTSA1","DIODE ARR SCHOTT 70V 70MA SOT23","","100","0","0.17020","17.02"
"6","10","13-YC248-JR-07220RLCT-ND","YC248-JR-07220RL","RES ARRAY 8 RES 220 OHM 1606","","10","0","0.22500","2.25"
"7","2","2648-SC0915CT-ND","SC0915","RASPBERRY PI PICO RP2040","","2","0","4.00000","8.00"
"8","100","A129741CT-ND","CRGCQ0805F220R","RES 220 OHM 1% 1/8W 0805","","100","0","0.01230","1.23"
"9","10","ED10538-ND","302-R261","CONN HEADER R/A 26POS 2.54MM","","10","0","0.68300","6.83"
"10","10","LKR26H-ND","3030-26-0103-00","CONN SOCKET 26POS IDC GOLD","","10","0","0.62000","6.20"
"11","2","1471-1973-ND","MIKROE-2317","CBL ASSY 26P SKT-TIP SKT 0.66'","","1","1","4.68000","9.36"
