"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","S9715-ND","SBH11-PBPC-D15-ST-BK","CONN HEADER VERT 30POS 2.54MM","","1","0","0.69000","0.69"
"2","1","2648-SC0915CT-ND","SC0915","RASPBERRY PI PICO RP2040","","1","0","4.00000","4.00"
"3","1","S1111EC-40-ND","PRPC040SBAN-M71RC","CONN HEADER R/A 40POS 2.54MM","","1","0","0.84000","0.84"
"4","10","FDLL4148CT-ND","FDLL4148","DIODE GEN PURP 100V 200MA SOD80","","10","0","0.04300","0.43"
"5","10","311-100KCRCT-ND","RC0805FR-07100KL","RES 100K OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"6","1","1528-1960-ND","1949","JUMPER WIRE F TO F 12"" 28AWG","","1","0","3.95000","3.95"
"7","2","S9312-ND","SFH213-PPPC-D15-ID-BK","CONN HEADER 30POS IDC 28AWG GOLD","","2","0","1.42000","2.84"
"8","10","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","10","0","0.05000","0.50"
"9","20","311-1140-1-ND","CC0805KRX7R9BB104","CAP CER 0.1UF 50V X7R 0805","","20","0","0.07000","1.40"
"10","10","296-TXU0104PWRCT-ND","TXU0104PWR","IC TRANSLATOR UNIDIR 14TSSOP","","10","0","0.60600","6.06"
