"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","2648-SC0915CT-ND","SC0915","RASPBERRY PI PICO RP2040","","1","0","4.00000","4.00"
"2","6","296-TXU0104PWRCT-ND","TXU0104PWR","IC TRANSLATOR UNIDIR 14TSSOP","","6","0","0.88000","5.28"
"3","1","ED10539-ND","302-R301","CONN HEADER R/A 30POS 2.54MM","","1","0","1.33000","1.33"
"4","1","H123834-ND","HIF3FB-30DA-2.54DSA(71)","CONN RCPT 30POS 0.1 GOLD PCB","","1","0","4.97000","4.97"
"5","1","S9715-ND","SBH11-PBPC-D15-ST-BK","CONN HEADER VERT 30POS 2.54MM","","1","0","0.69000","0.69"
"6","10","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","10","0","0.05000","0.50"
"7","1","S1111EC-40-ND","PRPC040SBAN-M71RC","CONN HEADER R/A 40POS 2.54MM","","1","0","0.84000","0.84"
"8","1","1528-1158-ND","793","JUMPER F/F 11.811"" 1PC","","1","0","7.95000","7.95"
"9","2","S9312-ND","SFH213-PPPC-D15-ID-BK","CONN HEADER 30POS IDC 28AWG GOLD","","2","0","1.42000","2.84"
"10","10","311-100KCRCT-ND","RC0805FR-07100KL","RES 100K OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"11","10","FDLL4148CT-ND","FDLL4148","DIODE GEN PURP 100V 200MA SOD80","","10","0","0.06200","0.62"
"12","1","2057-PH1-40-UA-ND","PH1-40-UA","Interconnect Rectangular","","1","0","0.50000","0.50"
